1,10,3.9,638,13.9,95.8,2628
11,8,0.3,65,0.9,4,378
15,10,3.6,670,16.2,117,3298
17,9,0.4,86,1.8,9.7,505
23,10,2.6,436,9.7,59,2046
41,9,1.3,250,3.4,21.8,902
45,8,0.14,37,0.17,0.56,688
46,9,0.7,164,1.3,5.7,380
51,9,1.5,266,2.9,18,809
55,8,0.36,67,0.9,3.8,380
95,7,0.05,20,0.12,0.42,50
147,10,2.8,470,15,133,3295
